KeyBase,Jenis RM,Jenis Analisa,Parameter,Std_mentah_2026,Kriteria,Nilai_std,Satuan,Std_tipe,Std_min,Std_max,m_num,M_num,Catatan
produksi|kimia|amonia (nh3) (terlarut),Produksi,Kimia,Amonia (NH3) (Terlarut),"Maks.  1,5  mg/L",Maks.,1.5,mg/L,Maks,,1.5,,,
produksi|kimia|arsen ( as ),Produksi,Kimia,Arsen  ( As ),"Maks.  0,01  mg/L",Maks.,0.01,mg/L,Maks,,0.01,,,
produksi|kimia|besi ( fe ),Produksi,Kimia,Besi  ( Fe ),"Maks.  0,2  mg/L",Maks.,0.2,mg/L,Maks,,0.2,,,
produksi|kimia|cadmium ( cd ),Produksi,Kimia,Cadmium  ( Cd ),"Maks.  0,003  mg/L",Maks.,0.003,mg/L,Maks,,0.003,,,
produksi|kimia|deterjen,Produksi,Kimia,Deterjen,-,,,-,Cek,,,,,
produksi|kimia|e.coli,Produksi,Kimia,E.Coli,CFU/100mL,,,CFU/100mL,Cek,,,,,
produksi|kimia|fenol (c6h6o) (c6h5oh),Produksi,Kimia,Fenol (C6H6O) (C6H5OH),-,,,-,Cek,,,,,
produksi|kimia|fluorida ( f ),Produksi,Kimia,Fluorida  ( F ),"Maks.  1,5  mg/L",Maks.,1.5,mg/L,Maks,,1.5,,,
produksi|kimia|fosfat (po4),Produksi,Kimia,Fosfat (PO4),-,,,-,Cek,,,,,
produksi|kimia|hidrogen sulfida (h2s),Produksi,Kimia,Hidrogen Sulfida (H2S),"0,05 - 0,1 mg/L",,0.05 - 0.1,mg/L,Range,0.05,0.1,,,
produksi|kimia|kekeruhan,Produksi,Kimia,Kekeruhan,Maks.  3  NTU,Maks.,3,NTU,Maks,,3,,,
produksi|kimia|kromium valensi 6 ( cr6+ ),Produksi,Kimia,Kromium  Valensi 6 ( Cr6+ ),"Maks.  0,01  mg/L",Maks.,0.01,mg/L,Maks,,0.01,,,
produksi|kimia|mangan ( mn ),Produksi,Kimia,Mangan  ( Mn ),"Maks.  0,1  mg/L",Maks.,0.1,mg/L,Maks,,0.1,,,
produksi|kimia|methylene blue active substance (mbas),Produksi,Kimia,Methylene Blue Active  Substance  (MBAS),-,,,-,Cek,,,,,
produksi|kimia|nikel (ni),Produksi,Kimia,Nikel (Ni),"Maks.  0,07 mg/L",Maks.,0.07,mg/L,Maks,,0.07,,,
produksi|kimia|nitrat ( no3 ),Produksi,Kimia,Nitrat  ( NO3 ),Maks.  20  mg/L,Maks.,20,mg/L,Maks,,20,,,
produksi|kimia|nitrit ( no2 ),Produksi,Kimia,Nitrit  ( NO2 ),Maks.  3  mg/L,Maks.,3,mg/L,Maks,,3,,,
produksi|kimia|parameter khusus,Produksi,Kimia,Parameter Khusus,,,,,NA,,,,,
produksi|kimia|parameter wajib,Produksi,Kimia,Parameter Wajib,,,,,NA,,,,,
produksi|kimia|ph,Produksi,Kimia,pH,"6,5 - 8,5",,6.5 - 8.5,,Range,6.5,8.5,,,
produksi|kimia|salmonella sp.,Produksi,Kimia,Salmonella sp.,Koloni/100 mL,,,Koloni/100 mL,Cek,,,,,
produksi|kimia|selenium ( se ),Produksi,Kimia,Selenium  ( Se ),"Maks.  0,01  mg/L",Maks.,0.01,mg/L,Maks,,0.01,,,
produksi|kimia|seng ( zn ),Produksi,Kimia,Seng  ( Zn ),Maks.  3  mg/L,Maks.,3,mg/L,Maks,,3,,,
produksi|kimia|senyawa diazo (zat pewarna sintetik),Produksi,Kimia,Senyawa Diazo (zat pewarna sintetik),-,,,-,Cek,,,,,
produksi|kimia|sianida ( cn ),Produksi,Kimia,Sianida  ( CN ),"Maks.  0,07  mg/L",Maks.,0.07,mg/L,Maks,,0.07,,,
produksi|kimia|sisa khlor,Produksi,Kimia,Sisa Khlor,"0,2 - 0,5 dengan waktu 30 menit",,0.2 - 0.5,dengan waktu 30 menit,Range,0.2,0.5,,,
produksi|kimia|tembaga ( cu ),Produksi,Kimia,Tembaga  ( Cu ),Maks.  2  mg/L,Maks.,2,mg/L,Maks,,2,,,
produksi|kimia|timbal (pb),Produksi,Kimia,Timbal (pb),"Maks. 0,01 mg/L",Maks.,0.01,mg/L,Maks,,0.01,,,
produksi|kimia|total coliform,Produksi,Kimia,Total  Coliform,CFU/100mL,,,CFU/100mL,Cek,,,,,
produksi|kimia|total kromium ( cr ),Produksi,Kimia,Total Kromium  ( Cr ),"Maks.  0,05  mg/L",Maks.,0.05,mg/L,Maks,,0.05,,,
produksi|kimia|total padatan ( tds ),Produksi,Kimia,Total  Padatan  ( TDS ),Maks.  300  mg/L,Maks.,300,mg/L,Maks,,300,,,
produksi|kimia|yeast & mould,Produksi,Kimia,Yeast & Mould,,,,,NA,,,,,
rbdpo|cemaran logam|as,RBDPO,Cemaran Logam,As,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
rbdpo|cemaran logam|cd,RBDPO,Cemaran Logam,Cd,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
rbdpo|cemaran logam|cu,RBDPO,Cemaran Logam,Cu,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
rbdpo|cemaran logam|fe,RBDPO,Cemaran Logam,Fe,"Maks.  1,5  ppm",Maks.,1.5,ppm,Maks,,1.5,,,
rbdpo|cemaran logam|hg,RBDPO,Cemaran Logam,Hg,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
rbdpo|cemaran logam|pb,RBDPO,Cemaran Logam,Pb,Maks.  0.1  ppm,Maks.,0.1,ppm,Maks,,0.1,,,
rbdpo|cemaran logam|sn,RBDPO,Cemaran Logam,Sn,Maks.  40  ppm,Maks.,40,ppm,Maks,,40,,,
rbdpo|kimia|bilangan iod,RBDPO,Kimia,Bilangan  Iod,"Min.  50,5  cg/g",Min.,50.5,cg/g,Min,50.5,,,,
rbdpo|kimia|color lovibon,RBDPO,Kimia,Color  lovibon,Maks.  2.8  Red,Maks.,2.8,Red,Maks,,2.8,,,
rbdpo|kimia|kadar air & kotoran,RBDPO,Kimia,Kadar  Air  &  Kotoran,"Maks.  0,08 %",Maks.,0.08,%,Maks,,0.08,,,
rbdpo|kimia|rancimat,RBDPO,Kimia,Rancimat,Min. 10 jam,Min.,10,jam,Min,10,,,,
rbdpo|kimia|total dioksin,RBDPO,Kimia,Total Dioksin,"Maks.  2,5 pg/g lemak",Maks.,2.5,pg/g lemak,Maks,,2.5,,,
segitiga biru|cemaran logam|as,Segitiga Biru,Cemaran Logam,As,"Maks.  0,5  ppm",Maks.,0.5,ppm,Maks,,0.5,,,
segitiga biru|cemaran logam|cd,Segitiga Biru,Cemaran Logam,Cd,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
segitiga biru|cemaran logam|hg,Segitiga Biru,Cemaran Logam,Hg,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
segitiga biru|cemaran logam|pb,Segitiga Biru,Cemaran Logam,Pb,Maks.  1  ppm,Maks.,1,ppm,Maks,,1,,,
segitiga biru|cemaran logam|sn,Segitiga Biru,Cemaran Logam,Sn,Maks.  40  ppm,Maks.,40,ppm,Maks,,40,,,
segitiga biru|fisik|ukuran partikel size,Segitiga Biru,Fisik,Ukuran Partikel size,Min.  95 %  lolos  ( w/w ),Min.,95,% lolos ( w/w ),Min,95,,,,
segitiga biru|karakteristik adonan|falling number,Segitiga Biru,Karakteristik Adonan,Falling  number,Min.  300 detik,Min.,300,detik,Min,300,,,,
segitiga biru|karakteristik adonan|kadar gluten ( metode glutomatik ),Segitiga Biru,Karakteristik Adonan,Kadar Gluten ( Metode Glutomatik ),,,,,NA,,,,,
segitiga biru|karakteristik adonan|kestabilan,Segitiga Biru,Karakteristik Adonan,Kestabilan,Min.  10 menit,Min.,10,menit,Min,10,,,,
segitiga biru|karakteristik adonan|water absorption,Segitiga Biru,Karakteristik Adonan,Water  Absorption,Min.  60 %,Min.,60,%,Min,60,,,,
segitiga biru|kimia|deoksivalenol,Segitiga Biru,Kimia,Deoksivalenol,Maks.  1000 ppb,Maks.,1000,ppb,Maks,,1000,,,
segitiga biru|kimia|ethylene oxide,Segitiga Biru,Kimia,Ethylene Oxide,"Maks.  0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
segitiga biru|kimia|ethylene oxide / jumlah total ethylene oxide,Segitiga Biru,Kimia,Ethylene Oxide / Jumlah Total Ethylene Oxide,"Maks.  0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
segitiga biru|kimia|fe,Segitiga Biru,Kimia,Fe,Min.  50 ppm,Min.,50,ppm,Min,50,,,,
segitiga biru|kimia|folic acid,Segitiga Biru,Kimia,Folic  Acid,Min.  2 ppm,Min.,2,ppm,Min,2,,,,
segitiga biru|kimia|kadar protein (db),Segitiga Biru,Kimia,Kadar  Protein (db),"Min.  13,0 %",Min.,13.0,%,Min,13,,,,
segitiga biru|kimia|keasamanan,Segitiga Biru,Kimia,Keasamanan,Maks.  50 mg KOH / 100 g,Maks.,50,mg KOH / 100 g,Maks,,50,,,
segitiga biru|kimia|okratoksin a,Segitiga Biru,Kimia,Okratoksin A,Maks.  5 ppb,Maks.,5,ppb,Maks,,5,,,
segitiga biru|kimia|permentan 53/2018 (gandum),Segitiga Biru,Kimia,Permentan 53/2018 (gandum),,,,,NA,,,,,
segitiga biru|kimia|residu pestisida :,Segitiga Biru,Kimia,Residu  pestisida :,,,,,NA,,,,,
segitiga biru|kimia|vit b1,Segitiga Biru,Kimia,Vit  B1,Min.  2.5 ppm,Min.,2.5,ppm,Min,2.5,,,,
segitiga biru|kimia|vit b2,Segitiga Biru,Kimia,Vit  B2,Min.  4 ppm,Min.,4,ppm,Min,4,,,,
segitiga biru|kimia|vit b3,Segitiga Biru,Kimia,Vit  B3,,,,,NA,,,,,
segitiga biru|kimia|zn,Segitiga Biru,Kimia,Zn,Min.  30 ppm,Min.,30,ppm,Min,30,,,,
segitiga biru|mikrobiologi|alt,Segitiga Biru,Mikrobiologi,ALT,m = 105  kol/g,m =,105,kol/g,m,,,100000,,
segitiga biru|mikrobiologi|bacillus cereus,Segitiga Biru,Mikrobiologi,Bacillus  cereus,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
segitiga biru|mikrobiologi|escherichia coli,Segitiga Biru,Mikrobiologi,Escherichia coli,m = 7.4  APM/g,m =,7.4,APM/g,m,,,7.4,,
segitiga biru|mikrobiologi|kapang & khamir,Segitiga Biru,Mikrobiologi,Kapang & Khamir,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
segitiga biru|mikrobiologi|salmonella,Segitiga Biru,Mikrobiologi,Salmonella,m = negatif/25g,m = negatif/,25,g,m,,,25,,
segitiga hijau|cemaran logam|as,Segitiga Hijau,Cemaran Logam,As,"Maks.  0,5  ppm",Maks.,0.5,ppm,Maks,,0.5,,,
segitiga hijau|cemaran logam|cd,Segitiga Hijau,Cemaran Logam,Cd,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
segitiga hijau|cemaran logam|hg,Segitiga Hijau,Cemaran Logam,Hg,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
segitiga hijau|cemaran logam|pb,Segitiga Hijau,Cemaran Logam,Pb,Maks.  1  ppm,Maks.,1,ppm,Maks,,1,,,
segitiga hijau|cemaran logam|sn,Segitiga Hijau,Cemaran Logam,Sn,Maks.  40  ppm,Maks.,40,ppm,Maks,,40,,,
segitiga hijau|fisik|ukuran partikel size,Segitiga Hijau,Fisik,Ukuran Partikel size,Min.  95 %  lolos  ( w/w ),Min.,95,% lolos ( w/w ),Min,95,,,,
segitiga hijau|karakteristik adonan|falling number,Segitiga Hijau,Karakteristik Adonan,Falling  number,Min.  300 detik,Min.,300,detik,Min,300,,,,
segitiga hijau|karakteristik adonan|kadar gluten ( metode glutomatik ),Segitiga Hijau,Karakteristik Adonan,Kadar Gluten ( Metode Glutomatik ),,,,,NA,,,,,
segitiga hijau|karakteristik adonan|kestabilan,Segitiga Hijau,Karakteristik Adonan,Kestabilan,Min.  10 menit,Min.,10,menit,Min,10,,,,
segitiga hijau|karakteristik adonan|water absorption,Segitiga Hijau,Karakteristik Adonan,Water  Absorption,Min.  60 %,Min.,60,%,Min,60,,,,
segitiga hijau|kimia|deoksivalenol,Segitiga Hijau,Kimia,Deoksivalenol,Maks.  1000 ppb,Maks.,1000,ppb,Maks,,1000,,,
segitiga hijau|kimia|ethylene oxide,Segitiga Hijau,Kimia,Ethylene Oxide,"Maks.  0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
segitiga hijau|kimia|ethylene oxide / jumlah total ethylene oxide,Segitiga Hijau,Kimia,Ethylene Oxide / Jumlah Total Ethylene Oxide,"Maks.  0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
segitiga hijau|kimia|fe,Segitiga Hijau,Kimia,Fe,Min.  50 ppm,Min.,50,ppm,Min,50,,,,
segitiga hijau|kimia|folic acid,Segitiga Hijau,Kimia,Folic  Acid,Min.  2 ppm,Min.,2,ppm,Min,2,,,,
segitiga hijau|kimia|kadar protein (db),Segitiga Hijau,Kimia,Kadar  Protein (db),"Min.  13,0 %",Min.,13.0,%,Min,13,,,,
segitiga hijau|kimia|keasamanan,Segitiga Hijau,Kimia,Keasamanan,Maks.  50 mg KOH / 100 g,Maks.,50,mg KOH / 100 g,Maks,,50,,,
segitiga hijau|kimia|okratoksin a,Segitiga Hijau,Kimia,Okratoksin A,Maks.  5 ppb,Maks.,5,ppb,Maks,,5,,,
segitiga hijau|kimia|permentan 53/2018 (gandum),Segitiga Hijau,Kimia,Permentan 53/2018 (gandum),,,,,NA,,,,,
segitiga hijau|kimia|residu pestisida :,Segitiga Hijau,Kimia,Residu  pestisida :,,,,,NA,,,,,
segitiga hijau|kimia|vit b1,Segitiga Hijau,Kimia,Vit  B1,Min.  2.5 ppm,Min.,2.5,ppm,Min,2.5,,,,
segitiga hijau|kimia|vit b2,Segitiga Hijau,Kimia,Vit  B2,Min.  4 ppm,Min.,4,ppm,Min,4,,,,
segitiga hijau|kimia|vit b3,Segitiga Hijau,Kimia,Vit  B3,,,,,NA,,,,,
segitiga hijau|kimia|zn,Segitiga Hijau,Kimia,Zn,Min.  30 ppm,Min.,30,ppm,Min,30,,,,
segitiga hijau|mikrobiologi|alt,Segitiga Hijau,Mikrobiologi,ALT,m = 105  kol/g,m =,105,kol/g,m,,,100000,,
segitiga hijau|mikrobiologi|bacillus cereus,Segitiga Hijau,Mikrobiologi,Bacillus  cereus,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
segitiga hijau|mikrobiologi|escherichia coli,Segitiga Hijau,Mikrobiologi,Escherichia coli,m = 7.4  APM/g,m =,7.4,APM/g,m,,,7.4,,
segitiga hijau|mikrobiologi|kapang & khamir,Segitiga Hijau,Mikrobiologi,Kapang & Khamir,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
segitiga hijau|mikrobiologi|salmonella,Segitiga Hijau,Mikrobiologi,Salmonella,m = negatif/25g,m = negatif/,25,g,m,,,25,,
v 000100|cemaran logam|pb,V 000100,Cemaran Logam,Pb,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
v 000100|kimia|cloride,V 000100,Kimia,Cloride,"Maks. 0,03 %",Maks.,0.03,%,Maks,,0.03,,,
"v 000100|kimia|kemurnian,",V 000100,Kimia,"Kemurnian,","98,0 - 101,0%  (db)",,98.0 - 101.0,% (db),Range,98,101,,,
v 000100|kimia|residu pemijaran (abu sulfat),V 000100,Kimia,Residu pemijaran (Abu Sulfat),"Maks. 0,1 %",Maks.,0.1,%,Maks,,0.1,,,
"v 000100|kimia|residu solvent (etanol) : etanol , cyclohexane",V 000100,Kimia,"Residu Solvent  (Etanol) :  Etanol , Cyclohexane",Maks. 50 ppm,Maks.,50,ppm,Maks,,50,,,
v 000600|cemaran logam|as,V 000600,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
v 000600|cemaran logam|cd,V 000600,Cemaran Logam,Cd,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
v 000600|cemaran logam|hg,V 000600,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
v 000600|cemaran logam|pb,V 000600,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
v 000600|kimia|kemurnian,V 000600,Kimia,Kemurnian,"Min. 98,0 %",Min.,98.0,%,Min,98,,,,
v 000700|cemaran logam|pb,V 000700,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
v 000700|kimia|kemurnian,V 000700,Kimia,Kemurnian,"98,0 - 101,0%  (db)",,98.0 - 101.0,% (db),Range,98,101,,,
v 000700|kimia|melting point,V 000700,Kimia,Melting point,128 - 131 °C,,128 - 131,°C,Range,128,131,,,
v 000700|kimia|residu pemijaran (abu sulfat),V 000700,Kimia,Residu pemijaran (Abu Sulfat),"Maks. 0,1 %",Maks.,0.1,%,Maks,,0.1,,,
v 003800|cemaran logam|as,V 003800,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
v 003800|cemaran logam|hg,V 003800,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
v 003800|cemaran logam|pb,V 003800,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
v 003800|kimia|spesifik gravity,V 003800,Kimia,Spesifik  gravity,"0,93 - 0,95  g/cm3",,0.93 - 0.95,g/cm3,Range,0.93,0.95,,,
